words,match_id,team_name,outcome
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Pass,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Carry-Pass-Pressure-Ball Receipt-Foul Committed,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Block-Goal Keeper,3955632,AFC Bournemouth,Drawn
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Carry-Dispossessed,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Duel,3955632,AFC Bournemouth,Drawn
Tactical Shift-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Duel,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Foul Committed,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Block,3955632,AFC Bournemouth,Drawn
Duel,3955632,AFC Bournemouth,Drawn
Goal Keeper,3955632,AFC Bournemouth,Drawn
Duel,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Interception-Carry,3955632,AFC Bournemouth,Drawn
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Miscontrol,3955632,AFC Bournemouth,Drawn
