words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Ball Receipt-Pass-Pressure-Ball Receipt,Ryan Christie-Ryan Christie-Lewis Cook-Lewis Cook,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt-Pass,Adam Smith-Antoine Semenyo-Antoine Semenyo,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Receipt-Duel,Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Pass,Adam Smith,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt-Duel,Adam Smith-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Dribbled Past-Pressure,Ryan Christie-Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Marcos Senesi,3955731,AFC Bournemouth,Lost,2,3,First half
Pass,Lewis Cook,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Lewis Cook,3955731,AFC Bournemouth,Lost,2,3,First half
Clearance,Illia Zabarnyi,3955731,AFC Bournemouth,Lost,2,3,First half
Goal Keeper-Pass-Ball Receipt-Duel,Kepa Arrizabalaga Revuelta-Kepa Arrizabalaga Revuelta-Antoine Semenyo-Antoine Semenyo,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Tyler Adams-Ryan Christie-Ryan Christie-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa-Antoine Semenyo-Antoine Semenyo-Antoine Semenyo-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa-Justin Kluivert-Justin Kluivert-Justin Kluivert-Tyler Adams-Tyler Adams-Tyler Adams-Illia Zabarnyi-Illia Zabarnyi-Illia Zabarnyi-Marcos Senesi-Marcos Senesi-Marcos Senesi,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Justin Kluivert,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Lewis Cook,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Justin Kluivert,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Milos Kerkez,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Interception-Pressure,Justin Kluivert-Justin Kluivert,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Justin Kluivert,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Duel-Carry-Pass,Ryan Christie-Ryan Christie-Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Recovery,Adam Smith,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure-Foul Committed,Antoine Semenyo-Antoine Semenyo,3955731,AFC Bournemouth,Lost,2,3,First half
Clearance,Adam Smith,3955731,AFC Bournemouth,Lost,2,3,First half
Clearance-Clearance-Pressure,Illia Zabarnyi-Ryan Christie-Justin Kluivert,3955731,AFC Bournemouth,Lost,2,3,First half
Dribbled Past,Justin Kluivert,3955731,AFC Bournemouth,Lost,2,3,First half
Goal Keeper,Kepa Arrizabalaga Revuelta,3955731,AFC Bournemouth,Lost,2,3,First half
Clearance,Milos Kerkez,3955731,AFC Bournemouth,Lost,2,3,First half
Clearance,Tyler Adams,3955731,AFC Bournemouth,Lost,2,3,First half
Duel,Justin Kluivert,3955731,AFC Bournemouth,Lost,2,3,First half
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Kepa Arrizabalaga Revuelta-Ryan Christie-Marcos Senesi-Marcos Senesi-Marcos Senesi-Antoine Semenyo,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt,Antoine Semenyo-Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Pass,Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Receipt,Lewis Cook,3955731,AFC Bournemouth,Lost,2,3,First half
Shot,Lewis Cook,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Lewis Cook,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Tyler Adams-Tyler Adams-Tyler Adams-Marcos Senesi-Marcos Senesi,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Marcos Senesi-Ryan Christie-Ryan Christie-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa-Tyler Adams-Tyler Adams-Tyler Adams-Milos Kerkez-Milos Kerkez-Milos Kerkez-Marcos Senesi-Marcos Senesi-Marcos Senesi-Tyler Adams-Tyler Adams-Tyler Adams-Marcos Senesi-Marcos Senesi-Marcos Senesi-Illia Zabarnyi-Illia Zabarnyi-Illia Zabarnyi-Adam Smith-Adam Smith-Adam Smith-Illia Zabarnyi-Illia Zabarnyi-Illia Zabarnyi-Antoine Semenyo,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt-Duel,Tyler Adams-Adam Smith-Adam Smith,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Pressure-Ball Receipt,Tyler Adams-Antoine Semenyo-Antoine Semenyo,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt-Carry,Adam Smith-Antoine Semenyo-Antoine Semenyo,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt-Carry-Pass,Antoine Semenyo-Ryan Christie-Ryan Christie-Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt-Carry-Pass,Tyler Adams-Ryan Christie-Ryan Christie-Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Miscontrol,Lewis Cook-Lewis Cook-Lewis Cook-Ryan Christie-Ryan Christie-Ryan Christie-Justin Kluivert-Justin Kluivert-Justin Kluivert-Milos Kerkez-Milos Kerkez,3955731,AFC Bournemouth,Lost,2,3,First half
Interception,Adam Smith,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Block,Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Pass,Adam Smith,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Receipt-Pass-Ball Receipt,Lewis Cook-Lewis Cook-Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Tyler Adams,3955731,AFC Bournemouth,Lost,2,3,First half
Duel-Pass-Ball Receipt,Tyler Adams-Adam Smith-Antoine Semenyo,3955731,AFC Bournemouth,Lost,2,3,First half
Pass,Antoine Semenyo,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Receipt-Carry,Ryan Christie-Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Dribble-Carry,Ryan Christie-Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Foul Committed,Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Milos Kerkez-Justin Kluivert-Justin Kluivert-Marcos Senesi-Marcos Senesi-Marcos Senesi-Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Clearance-Pressure-Pass,Adam Smith-Adam Smith-Adam Smith,3955731,AFC Bournemouth,Lost,2,3,First half
Duel,Lewis Cook,3955731,AFC Bournemouth,Lost,2,3,First half
Interception-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,Marcos Senesi-Lewis Cook-Justin Kluivert-Justin Kluivert-Justin Kluivert-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Pass,Justin Kluivert,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Milos Kerkez,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Recovery-Carry,Marcos Senesi-Marcos Senesi,3955731,AFC Bournemouth,Lost,2,3,First half
