words,match_id,team_name,outcome,goals_scored,goals_conceded
Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Interception,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Duel,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Block-Ball Recovery-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Carry-Dribble,3955878,AFC Bournemouth,Won,3,1
Pressure-Foul Committed,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Block-Goal Keeper,3955878,AFC Bournemouth,Won,3,1
Block-Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Dribbled Past-Pressure-Pressure,3955878,AFC Bournemouth,Won,3,1
Block,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry,3955878,AFC Bournemouth,Won,3,1
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Pass-Ball Receipt-Duel,3955878,AFC Bournemouth,Won,3,1
Pressure-Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
