words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Ball Receipt-Carry-Dribble-Carry,Álvaro Borja Morata Martín-Álvaro Borja Morata Martín-Álvaro Borja Morata Martín-Álvaro Borja Morata Martín,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt,Álvaro Borja Morata Martín-Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt,Filippo Terracciano-Álvaro Borja Morata Martín,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Álvaro Borja Morata Martín-Malick Thiaw-Malick Thiaw-Malick Thiaw-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Christian Pulisic-Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt,Christian Pulisic-Filippo Terracciano,3945064,AC Milan,Won,1,0,First half
Pressure,Álvaro Borja Morata Martín,3945064,AC Milan,Won,1,0,First half
Pass,Malick Thiaw,3945064,AC Milan,Won,1,0,First half
Ball Receipt-Carry-Pass-Ball Receipt,Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Tijjani Reijnders,3945064,AC Milan,Won,1,0,First half
Pressure,Tijjani Reijnders,3945064,AC Milan,Won,1,0,First half
Ball Recovery,Tijjani Reijnders,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Youssouf Fofana-Filippo Terracciano-Filippo Terracciano-Filippo Terracciano-Malick Thiaw-Malick Thiaw-Malick Thiaw-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Christian Pulisic-Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Carry,Christian Pulisic-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Pass,Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Ball Receipt-Carry-Dribble,Filippo Terracciano-Filippo Terracciano-Filippo Terracciano,3945064,AC Milan,Won,1,0,First half
Ball Recovery-Carry,Malick Thiaw-Malick Thiaw,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Malick Thiaw-Youssouf Fofana-Youssouf Fofana-Youssouf Fofana-Strahinja Pavlović,3945064,AC Milan,Won,1,0,First half
Clearance,Malick Thiaw,3945064,AC Milan,Won,1,0,First half
