words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Ball Recovery-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Foul Won-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Duel,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Block,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Foul Committed,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Interception-Carry-Miscontrol-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Duel,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Duel-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Dribbled Past-Pressure-Foul Committed,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Recovery-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Block-Goal Keeper,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Duel,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Duel,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Clearance-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Goal Keeper-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Pass-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Miscontrol-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Foul Committed,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Goal Keeper,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Clearance,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Clearance,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Goal Keeper-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Recovery-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Duel,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Recovery-Carry-Dribble-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Pressure-Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Recovery,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Goal Keeper-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Recovery-Carry-Dispossessed,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Interception-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry-Pass-Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Foul Won-Pass-Ball Receipt-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry-Miscontrol,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Dribble-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Foul Committed,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Foul Committed,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Block-Goal Keeper,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Goal Keeper-Pass-Ball Receipt-Carry-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry-Pass-Ball Receipt-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Duel-Ball Recovery-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Duel,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Clearance-Pass-Pressure-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Dribbled Past-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Interception-Carry-Dribble-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Miscontrol-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Shot,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
