words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pressure,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Pass,3955633,Arsenal,Won,2,0,First half
Ball Receipt,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Goal Keeper,3955633,Arsenal,Won,2,0,First half
Substitution-Tactical Shift,3955633,Arsenal,Won,2,0,First half
Injury Stoppage,3955633,Arsenal,Won,2,0,First half
Pressure-Foul Committed,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Block,3955633,Arsenal,Won,2,0,First half
Interception-Pressure,3955633,Arsenal,Won,2,0,First half
Pressure-Pressure,3955633,Arsenal,Won,2,0,First half
Pressure-Foul Committed,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Block-Substitution-Tactical Shift,3955633,Arsenal,Won,2,0,First half
Ball Recovery,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Miscontrol,3955633,Arsenal,Won,2,0,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
