words,word_players,match_id,team_name
Ball Receipt-Carry-Dispossessed,Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Ball Recovery-Carry,Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Dispossessed,Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Pressure,Dimitris Giannoulis,3949489,Augsburg
Pressure,Arne Engels,3949489,Augsburg
Pressure,Phillip Tietz,3949489,Augsburg
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-Pressure,Nediljko Labrović-Nediljko Labrović-Nediljko Labrović-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Tim Breithaupt-Tim Breithaupt-Tim Breithaupt-Mads Pedersen-Mads Pedersen-Mads Pedersen-Phillip Tietz-Phillip Tietz-Phillip Tietz-Phillip Tietz,3949489,Augsburg
Block-Ball Recovery-Carry,Phillip Tietz-Phillip Tietz-Phillip Tietz,3949489,Augsburg
Miscontrol-Injury Stoppage,Phillip Tietz-Phillip Tietz,3949489,Augsburg
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Tim Breithaupt-Tim Breithaupt-Tim Breithaupt-Nediljko Labrović-Nediljko Labrović-Nediljko Labrović-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Arne Maier-Arne Maier-Arne Maier-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis-Keven Schlotterbeck-Keven Schlotterbeck,3949489,Augsburg
Pass-Ball Receipt-Carry,Keven Schlotterbeck-Nediljko Labrović-Nediljko Labrović,3949489,Augsburg
Pass-Ball Receipt,Nediljko Labrović-Phillip Tietz,3949489,Augsburg
Pass-Ball Receipt-Carry-Miscontrol,Phillip Tietz-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Pressure,Arne Maier,3949489,Augsburg
Pass,Mads Pedersen,3949489,Augsburg
Ball Receipt-Carry,Elvis Rexhbeçaj-Elvis Rexhbeçaj,3949489,Augsburg
Foul Won-Pass-Ball Receipt,Elvis Rexhbeçaj-Jeffrey Gouweleeuw-Keven Schlotterbeck,3949489,Augsburg
Pass,Keven Schlotterbeck,3949489,Augsburg
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Ball Recovery-Carry-Pass,Mads Pedersen-Mads Pedersen-Mads Pedersen,3949489,Augsburg
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Mads Pedersen-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Mads Pedersen-Mads Pedersen,3949489,Augsburg
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble-Carry,Mads Pedersen-Tim Breithaupt-Tim Breithaupt-Tim Breithaupt-Mads Pedersen-Mads Pedersen-Mads Pedersen-Mads Pedersen,3949489,Augsburg
Pass-Ball Receipt-Pass,Mads Pedersen-Phillip Tietz-Phillip Tietz,3949489,Augsburg
Pass,Tim Breithaupt,3949489,Augsburg
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Keven Schlotterbeck-Nediljko Labrović-Nediljko Labrović-Nediljko Labrović-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Tim Breithaupt-Tim Breithaupt,3949489,Augsburg
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Tim Breithaupt-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Mads Pedersen-Mads Pedersen-Mads Pedersen,3949489,Augsburg
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu-Phillip Tietz-Phillip Tietz-Phillip Tietz-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu-Arne Engels-Arne Engels-Arne Engels-Arne Maier-Arne Maier-Arne Maier-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj,3949489,Augsburg
Pressure,Arne Engels,3949489,Augsburg
Pressure,Tim Breithaupt,3949489,Augsburg
Pressure,Tim Breithaupt,3949489,Augsburg
Pressure,Tim Breithaupt,3949489,Augsburg
Dribbled Past,Dimitris Giannoulis,3949489,Augsburg
Goal Keeper-Pass-Ball Receipt-Miscontrol,Nediljko Labrović-Nediljko Labrović-Dimitris Giannoulis-Dimitris Giannoulis,3949489,Augsburg
Duel,Dimitris Giannoulis,3949489,Augsburg
Pressure,Jeffrey Gouweleeuw,3949489,Augsburg
Block-Goal Keeper,Jeffrey Gouweleeuw-Nediljko Labrović,3949489,Augsburg
Ball Recovery-Carry,Jeffrey Gouweleeuw-Jeffrey Gouweleeuw,3949489,Augsburg
Dribble-Carry,Jeffrey Gouweleeuw-Jeffrey Gouweleeuw,3949489,Augsburg
Pass,Jeffrey Gouweleeuw,3949489,Augsburg
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Phillip Tietz-Phillip Tietz-Tim Breithaupt-Tim Breithaupt-Tim Breithaupt-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Mads Pedersen-Mads Pedersen-Mads Pedersen,3949489,Augsburg
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Phillip Tietz-Phillip Tietz-Phillip Tietz-Elvis Rexhbeçaj-Elvis Rexhbeçaj,3949489,Augsburg
Pass-Ball Receipt-Pass-Ball Receipt-Shot,Elvis Rexhbeçaj-Tim Breithaupt-Tim Breithaupt-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Pass-Ball Receipt,Jeffrey Gouweleeuw-Phillip Tietz,3949489,Augsburg
Pass-Ball Receipt-Shot,Phillip Tietz-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Pressure,Arne Maier,3949489,Augsburg
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nediljko Labrović-Nediljko Labrović-Nediljko Labrović-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Elvis Rexhbeçaj-Elvis Rexhbeçaj,3949489,Augsburg
Pass-Ball Receipt-Carry,Elvis Rexhbeçaj-Nediljko Labrović-Nediljko Labrović,3949489,Augsburg
Pass-Ball Receipt-Carry,Nediljko Labrović-Keven Schlotterbeck-Keven Schlotterbeck,3949489,Augsburg
Pass-Foul Committed,Keven Schlotterbeck-Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Pressure,Phillip Tietz,3949489,Augsburg
Duel-Carry-Dribble-Carry,Mads Pedersen-Mads Pedersen-Mads Pedersen-Mads Pedersen,3949489,Augsburg
Pass-Ball Receipt-Carry,Mads Pedersen-Phillip Tietz-Phillip Tietz,3949489,Augsburg
Pass-Ball Receipt-Carry-Pass,Phillip Tietz-Arne Engels-Arne Engels-Arne Engels,3949489,Augsburg
Pressure,Arne Engels,3949489,Augsburg
Pass-Ball Receipt,Mads Pedersen-Phillip Tietz,3949489,Augsburg
Miscontrol,Phillip Tietz,3949489,Augsburg
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Pressure,Tim Breithaupt,3949489,Augsburg
Pass-Ball Receipt-Carry-Miscontrol,Jeffrey Gouweleeuw-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Pressure,Dimitris Giannoulis,3949489,Augsburg
Duel,Dimitris Giannoulis,3949489,Augsburg
Pressure,Arne Engels,3949489,Augsburg
Pressure,Dimitris Giannoulis,3949489,Augsburg
Dribbled Past,Dimitris Giannoulis,3949489,Augsburg
Pressure,Dimitris Giannoulis,3949489,Augsburg
Clearance-Ball Recovery-Carry-Pass,Keven Schlotterbeck-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis,3949489,Augsburg
Pressure,Arne Engels,3949489,Augsburg
Block,Arne Maier,3949489,Augsburg
Interception-Ball Recovery-Carry-Pass-Ball Receipt-Carry,Dimitris Giannoulis-Tim Breithaupt-Tim Breithaupt-Tim Breithaupt-Nediljko Labrović-Nediljko Labrović,3949489,Augsburg
Pass,Nediljko Labrović,3949489,Augsburg
Ball Receipt-Carry,Elvis Rexhbeçaj-Elvis Rexhbeçaj,3949489,Augsburg
Foul Won-Pass-Pressure,Elvis Rexhbeçaj-Nediljko Labrović-Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Interception-Pass,Jeffrey Gouweleeuw-Tim Breithaupt,3949489,Augsburg
Pass-Ball Receipt-Carry-Pass,Elvis Rexhbeçaj-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck,3949489,Augsburg
Pressure,Tim Breithaupt,3949489,Augsburg
Interception-Duel,Keven Schlotterbeck-Tim Breithaupt,3949489,Augsburg
Pass-Ball Receipt-Duel,Dimitris Giannoulis-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Pass,Arne Engels,3949489,Augsburg
Pass,Elvis Rexhbeçaj,3949489,Augsburg
Pressure,Phillip Tietz,3949489,Augsburg
Clearance-50/50,Keven Schlotterbeck-Phillip Tietz,3949489,Augsburg
Block-Pressure,Phillip Tietz-Phillip Tietz,3949489,Augsburg
Duel-Carry-Pass,Phillip Tietz-Phillip Tietz-Phillip Tietz,3949489,Augsburg
Ball Receipt-Miscontrol,Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Pressure,Arne Engels,3949489,Augsburg
Pressure,Tim Breithaupt,3949489,Augsburg
Goal Keeper-Pass,Nediljko Labrović-Nediljko Labrović,3949489,Augsburg
Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu-Tim Breithaupt-Tim Breithaupt-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis-Tim Breithaupt-Tim Breithaupt-Tim Breithaupt-Arne Maier-Arne Maier-Arne Maier-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Arne Engels-Arne Engels,3949489,Augsburg
Pass,Arne Engels,3949489,Augsburg
Pressure,Keven Schlotterbeck,3949489,Augsburg
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Tim Breithaupt-Tim Breithaupt-Tim Breithaupt-Arne Maier-Arne Maier,3949489,Augsburg
Pass-Ball Receipt-Carry,Arne Maier-Mads Pedersen-Mads Pedersen,3949489,Augsburg
